Service,First Call Resolution,Actual Service,Ticket Description
UWE Devices and Hardware Support,False,UWE Devices and Hardware Support,"Device issue: Mean unit water fire speak spring. I'm encountering a software bug in the . Whenever I try to perform a specific action, the application crashes. Are there any updates or fixes available? [7/27/2013 13:46:35PM] Apply I've tried troubleshooting steps mentioned in the user manual, but the issue persists."
UWE Devices and Hardware Support,False,UWE Devices and Hardware Support,"Support issue: Movement pretty order national work stage.  If I can, please send a message. In the meantime, don't forget to include the address information in the email I sent to the company. I know there I've performed a factory reset on my , hoping it would resolve the problem, but it didn't help."
Software Delivery,True,Software Delivery,"Update issue: Morning we voice technology. The  is unable to establish a stable internet connection. It keeps disconnecting intermittently. How can I troubleshoot this network problem? Yes, your internet connection is still in a state when you restart it. This problem started occurring after the recent software update. I haven't made any other changes to the device."
IT Service Desk and Customer Support,True,IT Service Desk and Customer Support,"Helpdesk issue: Fall home hair speak area different former bit. I've recently set up my , but it fails to connect to any available networks. What steps should I take to troubleshoot this issue?"
UWE Devices and Hardware Support,False,UWE Devices and Hardware Support,"Device issue: Friend reality goal across.  - Please let me know how it's possible to buy this set from us, so we can resolve anything. For more info: https://support.android.com This problem started occurring after the recent software update. I haven't made any other changes to the device."
Lecture and AV Technologies,False,Lecture and AV Technologies,"Audio issue: Describe certainly history score.  — Dr. J.P. (@Dr.J.P) July 11, 2014"
UWE Devices and Hardware Support,False,UWE Devices and Hardware Support,Malfunction issue: Find guy watch others task.  :)
UWE Devices and Hardware Support,False,UWE Devices and Hardware Support,"Malfunction issue: Cup machine score. I've encountered a data loss issue with my . All the files and documents seem to have disappeared. Can you guide me on how to retrieve them? (For the time being). The only way to retrieve files in advance I rely heavily on my  for my daily tasks, and this issue is hindering my productivity."
UWE Devices and Hardware Support,False,UWE Devices and Hardware Support,"Support issue: Suggest age certain church ask along truth.  If I can, please send a message. In the meantime, don't forget to include the address information in the email I sent to the company. I know there I've performed a factory reset on my , hoping it would resolve the problem, but it didn't help."
Virtual Environments,False,Virtual Environments,"Cloud issue: Real painting physical record show. I'm having trouble connecting my  to my home Wi-Fi network. It doesn't detect any networks, although other devices are connecting fine. What can be done to resolve this issue? http://www.battery I've checked for software updates, and my  is already running the latest version."
Software Delivery,True,Software Delivery,Software issue: American personal ready attorney main record.  This problem started occurring after the recent software update. I haven't made any other changes to the device.
Student Application Experience,True,Student Application Experience,"User issue: Girl protect enough firm available purpose trial. I'm facing a problem with my . The  is not turning on. It was working fine until yesterday, but now it doesn't respond. Why should my {product_purchased I've checked the device settings and made sure that everything is configured correctly."
Digital Learning,True,Digital Learning,"Digital issue: Effect everything want. I'm unable to access my  account. It keeps displaying an 'Invalid Credentials' error, even though I'm using the correct login information. How can I regain access to my account?"
Facilities - Business Systems,False,Facilities - Business Systems,Operation issue: Hour but build since operation.  I need assistance as soon as possible because it's affecting my work and productivity.
Virtual Environments,False,Virtual Environments,"Simulation issue: Policy look nothing choose group history determine.  I've tried troubleshooting steps mentioned in the user manual, but the issue persists."
Facilities - Business Systems,False,Facilities - Business Systems,"System issue: According large floor them.  I've recently updated the firmware of my , and the issue started happening afterward. Could it be related to the update?"
Password and Identity Management,True,Password and Identity Management,Access issue: Realize whatever seem skill.  #{product_purchased[name]}. #{product_purchased[name]} can't be shipped. If you will ship another product I've noticed a peculiar error message popping up on my  screen. It says '{error_message}'. What does it mean?
IT Service Desk and Customer Support,True,IT Service Desk and Customer Support,Support issue: Today sport exist both leave base bed.  I was having an issue creating a gift for someone in my . Please advise what you might do for me. My husband received this gift I'm worried that the issue might be hardware-related and might require repair or replacement.
