Service,First Call Resolution,Actual Service,Ticket Description
UWE Devices and Hardware Support,False,UWE Devices and Hardware Support,"I'm encountering a software bug in the . Whenever I try to perform a specific action, the application crashes. Are there any updates or fixes available? [7/27/2013 13:46:35PM] Apply I've tried troubleshooting steps mentioned in the user manual, but the issue persists."
UWE Devices and Hardware Support,False,UWE Devices and Hardware Support," If I can, please send a message. In the meantime, don't forget to include the address information in the email I sent to the company. I know there I've performed a factory reset on my , hoping it would resolve the problem, but it didn't help."
Software Delivery,True,Software Delivery,"The  is unable to establish a stable internet connection. It keeps disconnecting intermittently. How can I troubleshoot this network problem? Yes, your internet connection is still in a state when you restart it. This problem started occurring after the recent software update. I haven't made any other changes to the device."
IT Service Desk and Customer Support,True,IT Service Desk and Customer Support,"I've recently set up my , but it fails to connect to any available networks. What steps should I take to troubleshoot this issue?"
UWE Devices and Hardware Support,False,UWE Devices and Hardware Support," - Please let me know how it's possible to buy this set from us, so we can resolve anything. For more info: https://support.android.com This problem started occurring after the recent software update. I haven't made any other changes to the device."
Lecture and AV Technologies,False,Lecture and AV Technologies," — Dr. J.P. (@Dr.J.P) July 11, 2014"
UWE Devices and Hardware Support,False,UWE Devices and Hardware Support, :)
UWE Devices and Hardware Support,False,UWE Devices and Hardware Support,"I've encountered a data loss issue with my . All the files and documents seem to have disappeared. Can you guide me on how to retrieve them? (For the time being). The only way to retrieve files in advance I rely heavily on my  for my daily tasks, and this issue is hindering my productivity."
UWE Devices and Hardware Support,False,UWE Devices and Hardware Support," If I can, please send a message. In the meantime, don't forget to include the address information in the email I sent to the company. I know there I've performed a factory reset on my , hoping it would resolve the problem, but it didn't help."
Virtual Environments,False,Virtual Environments,"I'm having trouble connecting my  to my home Wi-Fi network. It doesn't detect any networks, although other devices are connecting fine. What can be done to resolve this issue? http://www.battery I've checked for software updates, and my  is already running the latest version."
Software Delivery,True,Software Delivery, This problem started occurring after the recent software update. I haven't made any other changes to the device.
Student Application Experience,True,Student Application Experience,"I'm facing a problem with my . The  is not turning on. It was working fine until yesterday, but now it doesn't respond. Why should my {product_purchased I've checked the device settings and made sure that everything is configured correctly."
Digital Learning,True,Digital Learning,"I'm unable to access my  account. It keeps displaying an 'Invalid Credentials' error, even though I'm using the correct login information. How can I regain access to my account?"
Facilities - Business Systems,False,Facilities - Business Systems, I need assistance as soon as possible because it's affecting my work and productivity.
Virtual Environments,False,Virtual Environments," I've tried troubleshooting steps mentioned in the user manual, but the issue persists."
Facilities - Business Systems,False,Facilities - Business Systems," I've recently updated the firmware of my , and the issue started happening afterward. Could it be related to the update?"
Password and Identity Management,True,Password and Identity Management, #{product_purchased[name]}. #{product_purchased[name]} can't be shipped. If you will ship another product I've noticed a peculiar error message popping up on my  screen. It says '{error_message}'. What does it mean?
IT Service Desk and Customer Support,True,IT Service Desk and Customer Support, I was having an issue creating a gift for someone in my . Please advise what you might do for me. My husband received this gift I'm worried that the issue might be hardware-related and might require repair or replacement.
Software Delivery,True,Software Delivery," This should correct a problem like this."" ""Thank you. My name is Mark."" ""Mark, and I'm your customer and I have been contacting you about this I've recently updated the firmware of my , and the issue started happening afterward. Could it be related to the update?"
Software Delivery,False,Software Delivery,"I'm facing a problem with my . The  is not turning on. It was working fine until yesterday, but now it doesn't respond. No more switching on my new {product_ I've checked for software updates, and my  is already running the latest version."
Staff Printing,False,Staff Printing,"I've forgotten my password for my  account, and the password reset option is not working. How can I recover my account?"
Facilities - Business Systems,False,Facilities - Business Systems,"I'm encountering a software bug in the . Whenever I try to perform a specific action, the application crashes. Are there any updates or fixes available? If so, please send us a PR. I am using an iOS I'm not sure if this issue is specific to my device or if others have reported similar problems."
Lecture and AV Technologies,False,Lecture and AV Technologies, Please support my project. Thank you.
Virtual Environments,False,Virtual Environments," * * @notice The items have been sent to the billing address at that address. The * billing address may not be available. * * @include 'ProductPay I've already contacted customer support multiple times, but the issue remains unresolved."
Password and Identity Management,True,Password and Identity Management,I've noticed a software bug in the  app. It's causing data loss and unexpected errors. How can I resolve this issue?
Facilities - Operations,False,Facilities - Operations,My  is making strange noises and not functioning properly. I suspect there might be a hardware issue. Can you please help me with this? Thank you.
Software Delivery,True,Software Delivery," I'd say to fix it then, we'd be here by now. Please give us an email if you're stuck with it. Or, get my boss. I've followed online tutorials and community forums to troubleshoot the issue, but no luck so far."
Collaboration Tools,False,Collaboration Tools," I've received the product. The price will be $19.99. Thank you, and Happy Picking!"
Password and Identity Management,True,Password and Identity Management, Thank you.
UWE Devices and Hardware Support,False,UWE Devices and Hardware Support,"Talking w/o text or image does NOT help.My other problems are this one:1. All products are printed under a different color.My current problem: The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly."
Lecture and AV Technologies,True,Lecture and AV Technologies,I've noticed a software bug in the  app. It's causing data loss and unexpected errors. How can I resolve this issue?
Digital Learning,False,Digital Learning,"I'm facing a problem with my . The  is not turning on. It was working fine until yesterday, but now it doesn't respond. I called my manager and she told me to I'm using the original charger that came with my , but it's not charging properly."
Lecture and AV Technologies,False,Lecture and AV Technologies, Thanks for your help.
Password and Identity Management,True,Password and Identity Management, Thanks. {product_id}{product_name}
Virtual Environments,True,Virtual Environments," "" // Product information "" @api_doc ( this, product_id ) { } @api_doc ( this, product_name ) { var product_ I've checked for software updates, and my  is already running the latest version."
Software Delivery,False,Software Delivery, Please provide me with any other information you have on this and also the type of product you have.
Password and Identity Management,False,Password and Identity Management," """
Remote Connectivity,False,Remote Connectivity,"I'm facing issues logging into my  account. It says my account is locked. What should I do to unlock it? It looks like my phone is locked, and I cannot use my account. I'm logged off I've noticed a peculiar error message popping up on my  screen. It says '{error_message}'. What does it mean?"
UWE Devices and Hardware Support,False,UWE Devices and Hardware Support, Please help with the purchase process from here.
Software Delivery,True,Software Delivery,  is not valid in your device's screen or you've set the product price based on the description. Please help me. I've noticed a peculiar error message popping up on my  screen. It says '{error_message}'. What does it mean?
Student Records/Administration,False,Student Records/Administration,"There seems to be a hardware problem with my . The screen is flickering, and I'm unable to use it. What should I do?"
Lecture and AV Technologies,False,Lecture and AV Technologies, Thank you. I've noticed that the issue occurs consistently when I use a specific feature or application on my .
Facilities - Operations,False,Facilities - Operations,"There seems to be a glitch in the  software. It freezes frequently, making it difficult to use. Can you please provide a solution? Thanks!"
Software Delivery,False,Software Delivery," A customer needs to be able to sell items only to the ""Customer"" (the seller)."
Web and intranet systems,False,Web and intranet systems,"I'm having trouble connecting my  to my home Wi-Fi network. It doesn't detect any networks, although other devices are connecting fine. What can be done to resolve this issue?"
Digital Learning,False,Digital Learning," "" } The only way to tell if my device has shipped"
UWE Devices and Hardware Support,True,UWE Devices and Hardware Support, $5.00 shipped. Please contact me with more information. $13.00 shipped. Please contact me with additional information.
Software Delivery,False,Software Delivery, I tried setting the quantity to $50 but I'm having issues with the . Please assist.
IT Service Desk and Customer Support,False,IT Service Desk and Customer Support, Please explain. Please explain. What is the status of this product? What is the price?
Password and Identity Management,False,Password and Identity Management,I've accidentally deleted important data from my . Is there any way to recover the deleted files? I need them urgently.
Student Printing,False,Student Printing, {product_purchased = false} Thank you! We don't have an easy way to buy this item because it requires some additional purchases. The current item I've noticed a sudden decrease in battery life on my . It used to last much longer.
Digital Learning,True,Digital Learning," - Please go to my ""Help with my car"" page of the shop! I didn't get a refund. (Note: If you find a problem with the I've tried using different cables, adapters, or peripherals with my , but the issue persists."
UWE Devices and Hardware Support,False,UWE Devices and Hardware Support, Please help with the purchase process from here.
Software Delivery,False,Software Delivery,"There seems to be a glitch in the  software. It freezes frequently, making it difficult to use. Can you please provide a solution?"
UWE Devices and Hardware Support,True,UWE Devices and Hardware Support,"My  is making strange noises and not functioning properly. I suspect there might be a hardware issue. Can you please help me with this? I've reviewed the troubleshooting steps on the official support website, but they didn't resolve the problem."
Software Delivery,False,Software Delivery," </div> — <br /> <br /> <br /> </div> <div id=""product_id"" style=""display:none!"" ><p></ I've performed a factory reset on my , hoping it would resolve the problem, but it didn't help."
Web and intranet systems,False,Web and intranet systems, Thanks.
Software Delivery,False,Software Delivery, I have a code and can't do this!
Software Delivery,False,Software Delivery, If you know of other problems with your purchase contact me by email and I will try to fix the issue before sending it back.
Lecture and AV Technologies,True,Lecture and AV Technologies," You have successfully purchased all of the products listed. Your name will appear as the name of Advance. After this message, you may need to reorder the product or I'm unable to find the option to perform the desired action in the . Could you please guide me through the steps?"
Lecture and AV Technologies,True,Lecture and AV Technologies,  will be resold for the original price on this website.  must be purchased by the customer in I've noticed a sudden decrease in battery life on my . It used to last much longer.
Lecture and AV Technologies,True,Lecture and AV Technologies,"There seems to be a glitch in the  software. It freezes frequently, making it difficult to use. Can you please provide a solution? I've noticed a sudden decrease in battery life on my . It used to last much longer."
UWE Devices and Hardware Support,True,UWE Devices and Hardware Support,"I've noticed a software bug in the  app. It's causing data loss and unexpected errors. How can I resolve this issue? To see how to enable the app for your device, please see the full example here I need assistance as soon as possible because it's affecting my work and productivity."
Digital Learning,False,Digital Learning,I'm facing issues logging into my  account. It says my account is locked. What should I do to unlock it?
Software Delivery,True,Software Delivery," Thanks."" I've tried clearing the cache and data for the  app, but the issue persists."
Password and Identity Management,False,Password and Identity Management, I get a lot of support and feedback from both my customers and myself. Thank you.
Student Printing,False,Student Printing,"My  crashed, and I lost all the data stored on it. Is there any way to recover the lost data?"
Software Delivery,False,Software Delivery, Thank you for providing that information for us.
UWE Device Management,True,UWE Device Management, :)
Lecture and AV Technologies,True,Lecture and AV Technologies,"My  is making strange noises and not functioning properly. I suspect there might be a hardware issue. Can you please help me with this? Please email me at [email protected] and I will do my best to contact The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly."
Software Delivery,False,Software Delivery, I would also like to apologize to all the people that provided feedback.
"PC, Mobile Device, and Software Delivery",True,"PC, Mobile Device, and Software Delivery","There seems to be a hardware problem with my . The screen is flickering, and I'm unable to use it. What should I do? - I recommend calling promotions directly. My policy of having my {product_item I've followed online tutorials and community forums to troubleshoot the issue, but no luck so far."
Password and Identity Management,True,Password and Identity Management,I've noticed a software bug in the  app. It's causing data loss and unexpected errors. How can I resolve this issue? We need your help in this area.
Software Delivery,False,Software Delivery,"I've recently set up my , but it fails to connect to any available networks. What steps should I take to troubleshoot this issue?"
Password and Identity Management,True,Password and Identity Management," It's not a case of, 'It's not a case of, it's a case of a faulty unit'. It's just, 'Well it's not I've checked the device settings and made sure that everything is configured correctly."
Facilities - Operations,True,Facilities - Operations,"I've recently set up my , but it fails to connect to any available networks. What steps should I take to troubleshoot this issue?"
Lecture and AV Technologies,True,Lecture and AV Technologies,"The  is unable to establish a stable internet connection. It keeps disconnecting intermittently. How can I troubleshoot this network problem? You can find the network information in the 'My Computer Running On Ethernet' section I'm using the original charger that came with my , but it's not charging properly."
Lecture and AV Technologies,False,Lecture and AV Technologies," If you need help, please use the code '$2'."
Email and Calendaring,False,Email and Calendaring,"I'm facing a problem with my . The  is not turning on. It was working fine until yesterday, but now it doesn't respond. Let's try this more carefully and solve this I've checked for software updates, and my  is already running the latest version."
Lecture and AV Technologies,True,Lecture and AV Technologies,"I'm facing issues logging into my  account. It says my account is locked. What should I do to unlock it? $ root ssh ave # root ::::::::::::::::::::: (logs in I've checked for software updates, and my  is already running the latest version."
Lecture and AV Technologies,True,Lecture and AV Technologies, Otherwise it looks like you're out of gas...
